gene_id	chr	strand	transcript_id
AARS1	NC_000016.10	-	['NM_001605.3 (MANE)', 'XM_047433666.1']
AARS2	NC_000006.12	-	['NM_020745.4 (MANE)', 'XM_005249245.4']
AARSD1	NC_000017.11	-	['NM_001261434.2 (MANE)']
AASDH	NC_000004.12	-	['NM_181806.4 (MANE)', 'NM_001286668.2', 'NM_001286669.2', 'NM_001286670.2', 'NM_001286671.2', 'NM_001286672.2', 'NM_001323890.2', 'NM_001323892.2', 'NM_001323893.2', 'NM_001323899.2', 'XM_017007740.3', 'XM_017007743.3', 'XM_047449614.1', 'XM_047449615.1']
AASDHPPT	NC_000011.10	+	['NM_015423.3 (MANE)']
AASS	NC_000007.14	-	['NM_005763.4 (MANE)', 'XM_011515725.3', 'XM_047419710.1', 'XM_047419711.1']
AATF	NC_000017.11	+	['NM_012138.4 (MANE)', 'NM_001411094.1', 'XM_047435748.1']
AATK	NC_000017.11	-	['NM_001080395.3 (MANE)', 'NM_004920.3']
ABAT	NC_000016.10	+	['NM_020686.6 (MANE)', 'NM_000663.5', 'NM_001127448.2', 'NM_001386600.1', 'NM_001386601.1', 'NM_001386602.1', 'NM_001386603.1', 'NM_001386604.1', 'NM_001386605.1', 'NM_001386606.1', 'NM_001386607.1', 'NM_001386608.1', 'NM_001386609.1', 'NM_001386610.1', 'NM_001386611.1', 'NM_001386612.1', 'NM_001386613.1', 'NM_001386614.1', 'NM_001386615.1', 'NM_001386616.1', 'XM_047433685.1', 'XM_047433686.1', 'XM_047433687.1', 'XM_047433688.1']
ABCA1	NC_000009.12	-	['NM_005502.4 (MANE)']
ABCA10	NC_000017.11	-	['NM_001377321.1 (MANE)', 'NM_080282.4']
ABCA12	NC_000002.12	-	['NM_173076.3 (MANE)', 'NM_015657.4', 'XM_011510951.3']
ABCA13	NC_000007.14	+	['NM_152701.5 (MANE)', 'XM_011515130.3', 'XM_011515131.3', 'XM_011515132.3', 'XM_011515133.3', 'XM_011515134.3', 'XM_011515136.2', 'XM_011515137.4', 'XM_011515138.3', 'XM_011515139.3', 'XM_011515141.3', 'XM_011515142.3', 'XM_011515143.3', 'XM_011515144.3', 'XM_011515145.3', 'XM_011515146.3', 'XM_011515147.3', 'XM_011515148.3', 'XM_011515149.3', 'XM_017011767.2', 'XM_017011768.2', 'XM_047419918.1', 'XM_047419919.1', 'XM_047419920.1', 'XM_047419921.1', 'XM_047419922.1']
ABCA2	NC_000009.12	-	['NM_001606.5 (MANE)', 'NM_001411042.1', 'NM_212533.3', 'XM_047422921.1']
ABCA3	NC_000016.10	-	['NM_001089.3 (MANE)']
ABCA4	NC_000001.11	-	['NM_000350.3 (MANE)', 'NM_001425324.1']
ABCA5	NC_000017.11	-	['NM_172232.4 (MANE)', 'NM_018672.5']
ABCA6	NC_000017.11	-	['NM_080284.3 (MANE)']
ABCA7	NC_000019.10	+	['NM_019112.4 (MANE)', 'XM_006722616.2', 'XM_006722617.3', 'XM_011527633.3', 'XM_011527634.2', 'XM_011527635.2', 'XM_047438044.1', 'XM_047438045.1', 'XM_047438046.1', 'XM_047438047.1', 'XM_047438048.1', 'XM_047438049.1', 'XM_047438051.1', 'XM_047438052.1', 'XM_047438053.1', 'XM_047438054.1', 'XM_047438055.1', 'XM_047438056.1']
ABCA8	NC_000017.11	-	['NM_001288985.2 (MANE)', 'NM_001288986.2', 'NM_001375771.1', 'NM_001375772.1', 'NM_007168.4', 'XM_011524192.4', 'XM_047435108.1', 'XM_047435109.1']
ABCA9	NC_000017.11	-	['NM_080283.4 (MANE)', 'XM_017024011.2', 'XM_017024012.2', 'XM_017024013.2', 'XM_017024015.3', 'XM_024450529.2', 'XM_024450530.2', 'XM_024450531.2', 'XM_047435106.1', 'XM_047435107.1']
ABCB1	NC_000007.14	-	['NM_001348946.2 (MANE)', 'NM_000927.5', 'NM_001348944.2', 'NM_001348945.2']
ABCB10	NC_000001.11	-	['NM_012089.3 (MANE)', 'XM_011544135.4', 'XM_011544136.2', 'XM_047416589.1', 'XM_047416590.1']
ABCB11	NC_000002.12	-	['NM_003742.4 (MANE)', 'XM_006712817.4', 'XM_011512078.3', 'XM_011512080.3', 'XM_017005165.2', 'XM_017005166.2', 'XM_017005167.2']
ABCB4	NC_000007.14	-	['NM_000443.4 (MANE)', 'NM_018849.3', 'NM_018850.3', 'XM_011516308.4', 'XM_011516309.4', 'XM_047420475.1', 'XM_047420476.1', 'XM_047420477.1']
ABCB5	NC_000007.14	+	['NM_001163941.2 (MANE)', 'NM_001163942.2', 'NM_001163993.3', 'NM_178559.6']
ABCB6	NC_000002.12	-	['NM_005689.4 (MANE)', 'NM_001349828.2']
ABCB7	NC_000023.11	-	['NM_001271696.3 (MANE)', 'NM_001271697.3', 'NM_001271698.3', 'NM_001271699.3', 'NM_004299.6']
ABCB8	NC_000007.14	+	['NM_007188.5 (MANE)', 'NM_001282291.2', 'NM_001282292.2', 'NM_001282293.2']
ABCB9	NC_000012.12	-	['NM_019625.4 (MANE)', 'NM_001243013.2', 'NM_001243014.2', 'NM_019624.4', 'NM_203444.4', 'XM_011538095.3', 'XM_011538096.3', 'XM_011538098.3', 'XM_017019103.2', 'XM_047428624.1', 'XM_047428626.1']
ABCC1	NC_000016.10	+	['NM_004996.4 (MANE)', 'NM_019862.3', 'XM_011522497.2', 'XM_017023237.2', 'XM_047434131.1', 'XM_047434132.1', 'XM_047434133.1', 'XM_047434134.1', 'XM_047434135.1', 'XM_047434136.1', 'XM_047434137.1', 'XM_047434138.1', 'XM_047434140.1', 'XM_047434141.1', 'XM_047434142.1', 'XM_047434144.1', 'XM_047434145.1', 'XM_047434146.1', 'XM_047434147.1', 'XM_047434148.1', 'XM_047434149.1', 'XM_047434151.1', 'XM_047434152.1', 'XM_047434153.1', 'XM_047434154.1']
ABCC10	NC_000006.12	+	['NM_001198934.2 (MANE)', 'NM_001350518.2', 'NM_033450.3', 'XM_011514974.4', 'XM_011514985.4', 'XM_011514986.4', 'XM_047419494.1', 'XM_047419495.1', 'XM_047419496.1', 'XM_047419497.1', 'XM_047419498.1', 'XM_047419499.1', 'XM_047419500.1', 'XM_047419501.1', 'XM_047419502.1']
ABCC11	NC_000016.10	-	['NM_001370497.1 (MANE)', 'NM_001370496.1', 'NM_032583.4', 'NM_033151.4', 'NM_145186.3', 'XM_011523398.4', 'XM_017023797.3', 'XM_017023798.3', 'XM_017023799.3', 'XM_017023800.3', 'XM_017023801.3', 'XM_017023802.3', 'XM_024450475.2', 'XM_047434818.1']
ABCC12	NC_000016.10	-	['NM_001393797.1 (MANE)', 'NM_001392028.1', 'NM_001393798.1', 'NM_001393799.1', 'NM_033226.3']
ABCC2	NC_000010.11	+	['NM_000392.5 (MANE)', 'XM_006717630.4', 'XM_006717631.5', 'XM_011539291.4', 'XM_017015675.3', 'XM_047424598.1']
ABCC3	NC_000017.11	+	['NM_003786.4 (MANE)', 'NM_001144070.2']
ABCC4	NC_000013.11	-	['NM_005845.5 (MANE)', 'NM_001105515.3', 'NM_001301829.2', 'NM_001301830.2', 'XM_017020320.3', 'XM_047430034.1', 'XM_047430035.1']
ABCC5	NC_000003.12	-	['NM_005688.4 (MANE)', 'NM_001023587.3', 'NM_001320032.2', 'XM_005247059.6', 'XM_011512314.3', 'XM_011512315.2', 'XM_017005493.2', 'XM_047447098.1', 'XM_047447099.1', 'XM_047447100.1']
ABCC6	NC_000016.10	-	['NM_001171.6 (MANE)', 'NM_001079528.4', 'NM_001351800.1']
ABCC8	NC_000011.10	-	['NM_000352.6 (MANE)', 'NM_001287174.3', 'NM_001351295.2', 'NM_001351296.2', 'NM_001351297.2']
ABCC9	NC_000012.12	-	['NM_020297.4 (MANE)', 'NM_001377273.1', 'NM_001377274.1', 'NM_005691.4', 'XM_005253288.5', 'XM_005253289.5', 'XM_005253290.5', 'XM_011520545.4']
ABCD1	NC_000023.11	+	['NM_000033.4 (MANE)', 'XM_047441916.1', 'XM_047441917.1']
ABCD2	NC_000012.12	-	['NM_005164.4 (MANE)', 'NM_001412788.1', 'NM_001412789.1', 'NM_001412790.1', 'NM_001412791.1', 'NM_001412792.1', 'NM_001412793.1', 'XM_017018992.3', 'XM_017018993.3']
ABCD3	NC_000001.11	+	['NM_002858.4 (MANE)', 'NM_001122674.2', 'XM_006710802.3', 'XM_011541877.2', 'XM_047426546.1', 'XM_047426549.1', 'XM_047426554.1', 'XM_047426556.1', 'XM_047426559.1']
ABCD4	NC_000014.9	-	['NM_005050.4 (MANE)', 'NM_001353591.2', 'NM_001353592.2', 'NM_001353593.2', 'NM_001353594.2', 'NM_001353595.2', 'NM_001353596.2', 'NM_001353597.2', 'NM_001353598.2', 'NM_001353599.2', 'NM_001353600.2', 'NM_001353601.2', 'NM_001353602.2', 'NM_001353603.2', 'NM_001353604.2', 'NM_001353605.2', 'NM_001353606.2', 'NM_001353607.2', 'NM_001353608.2', 'NM_001353609.2', 'NM_001353610.2', 'NM_020324.3', 'NM_020325.3', 'XM_005267942.5', 'XM_011537041.3', 'XM_017021531.3', 'XM_024449677.2', 'XM_047431637.1', 'XM_047431639.1', 'XM_047431640.1']
ABCE1	NC_000004.12	+	['NM_002940.3 (MANE)', 'NM_001040876.2']
ABCF1	NC_000006.12	+	['NM_001025091.2 (MANE)', 'NM_001090.3']
ABCF2	NC_000007.14	-	['NM_007189.3 (MANE)']
ABCF2-H2BK1	NC_000007.14	-	['NM_005692.5']
ABCF3	NC_000003.12	+	['NM_018358.3 (MANE)', 'NM_001351298.2', 'NM_001351299.2', 'NM_001351300.2', 'XM_047448515.1']
ABCG1	NC_000021.9	+	['NM_016818.3 (MANE)', 'NM_004915.4', 'NM_207174.1', 'NM_207627.2', 'NM_207628.1', 'NM_207629.2', 'XM_011529806.2', 'XM_011529807.4', 'XM_024452141.2', 'XM_047441053.1', 'XM_047441054.1', 'XM_047441055.1']
ABCG2	NC_000004.12	-	['NM_004827.3 (MANE)', 'NM_001257386.2', 'NM_001348985.1', 'NM_001348986.1', 'NM_001348987.1', 'NM_001348988.1', 'NM_001348989.2', 'XM_011532420.4', 'XM_017008852.3']
ABCG4	NC_000011.10	+	['NM_022169.5 (MANE)', 'NM_001142505.1', 'NM_001348191.2', 'NM_001348192.2', 'XM_011542952.3']
ABCG5	NC_000002.12	-	['NM_022436.3 (MANE)', 'XM_005264480.5', 'XM_006712073.4', 'XM_006712074.4', 'XM_011533024.3', 'XM_011533025.4', 'XM_011533026.3', 'XM_011533027.4', 'XM_011533028.3', 'XM_047445409.1', 'XM_047445410.1', 'XM_047445411.1']
ABCG8	NC_000002.12	+	['NM_022437.3 (MANE)', 'NM_001357321.2']
ABHD1	NC_000002.12	+	['NM_032604.4 (MANE)', 'XM_011533135.4', 'XM_011533136.4', 'XM_011533137.4', 'XM_011533138.4']
ABHD10	NC_000003.12	+	['NM_018394.4 (MANE)', 'NM_001272069.2']
ABHD11	NC_000007.14	-	['NM_148912.4 (MANE)', 'NM_001145364.3', 'NM_001301058.2', 'NM_148913.4', 'XM_024446948.2', 'XM_024446949.2', 'XM_047420884.1', 'XM_047420885.1', 'XM_047420886.1']
ABHD12	NC_000020.11	-	['NM_001042472.3 (MANE)', 'NM_015600.5', 'XM_011529214.3', 'XM_017027797.3', 'XM_047440087.1', 'XM_047440088.1', 'XM_047440089.1', 'XM_047440090.1', 'XM_047440091.1', 'XM_047440092.1', 'XM_047440093.1', 'XM_047440094.1']
ABHD12B	NC_000014.9	+	['NM_001206673.2 (MANE)', 'NM_181533.4', 'NM_181814.2', 'XM_006720052.2', 'XM_011536472.2', 'XM_011536474.3', 'XM_017021031.2']
ABHD13	NC_000013.11	+	['NM_032859.3 (MANE)', 'XM_011521128.4']
ABHD14A	NC_000003.12	+	['NM_015407.5 (MANE)']
ABHD14A-ACY1	NC_000003.12	+	['NM_001316331.2']
ABHD14B	NC_000003.12	-	['NM_001146314.2 (MANE)', 'NM_001254753.1', 'NM_032750.3']
ABHD15	NC_000017.11	-	['NM_198147.3 (MANE)']
ABHD16A	NC_000006.12	-	['NM_021160.3 (MANE)', 'NM_001177515.2']
ABHD16B	NC_000020.11	+	['NM_080622.4 (MANE)']
ABHD17A	NC_000019.10	-	['NM_001130111.2 (MANE)', 'NM_031213.4', 'XM_011528338.3', 'XM_047439487.1', 'XM_047439488.1', 'XM_047439489.1']
ABHD17B	NC_000009.12	-	['NM_001025780.3 (MANE)', 'NM_016014.4', 'XM_006717134.4', 'XM_017014787.3', 'XM_017014788.3', 'XM_017014789.3', 'XM_047423446.1', 'XM_047423447.1']
ABHD17C	NC_000015.10	+	['NM_021214.2 (MANE)']
ABHD18	NC_000004.12	+	['NM_001358451.3 (MANE)', 'NM_001039717.2', 'NM_001319305.3', 'NM_001319306.3', 'NM_001319307.3', 'NM_001358454.3', 'NM_001366037.3', 'NM_001366038.3', 'NM_001366039.3', 'NM_001366040.3', 'NM_001366041.3', 'NM_001366042.3', 'NM_001366043.1', 'NM_001366044.1', 'NM_001366045.1', 'NM_001366046.1', 'NM_001366047.1', 'NM_001366048.1', 'NM_025097.2']
ABHD2	NC_000015.10	+	['NM_152924.5 (MANE)', 'NM_001416412.1', 'NM_001416413.1', 'NM_001416414.1', 'NM_001416415.1', 'NM_001416416.1', 'NM_001416417.1', 'NM_001416418.1', 'NM_001416419.1', 'NM_001416420.1', 'NM_001416421.1', 'NM_001416422.1', 'NM_001416423.1', 'NM_001416424.1', 'NM_007011.8']
ABHD3	NC_000018.10	-	['NM_138340.5 (MANE)', 'NM_001308256.2', 'NM_001308257.2', 'XM_011525847.4', 'XM_017025574.2', 'XM_047437312.1', 'XM_047437313.1', 'XM_047437314.1']
ABHD4	NC_000014.9	+	['NM_022060.3 (MANE)', 'NM_001392009.1']
ABHD5	NC_000003.12	+	['NM_016006.6 (MANE)', 'NM_001355186.2', 'NM_001365649.1', 'NM_001365650.1', 'XM_047448243.1']
ABHD6	NC_000003.12	+	['NM_001320126.2 (MANE)', 'NM_020676.7', 'XM_005265334.5', 'XM_005265335.4', 'XM_047448629.1', 'XM_047448630.1']
ABHD8	NC_000019.10	-	['NM_024527.5 (MANE)']
ABI1	NC_000010.11	-	['NM_001012750.3 (MANE)', 'NM_001012751.3', 'NM_001012752.3', 'NM_001178116.2', 'NM_001178119.2', 'NM_001178120.2', 'NM_001178121.2', 'NM_001178122.2', 'NM_001178123.2', 'NM_001178124.2', 'NM_001178125.2', 'NM_001348029.2', 'NM_001348030.2', 'NM_001348031.2', 'NM_001348032.2', 'NM_001348033.2', 'NM_001348034.2', 'NM_001410909.1', 'NM_005470.4', 'XM_005252332.5', 'XM_011519289.3', 'XM_017015459.2', 'XM_047424404.1', 'XM_047424405.1', 'XM_047424406.1', 'XM_047424407.1', 'XM_047424408.1', 'XM_047424409.1']
ABI2	NC_000002.12	+	['NM_001375670.1 (MANE)', 'NM_001282925.3', 'NM_001282926.3', 'NM_001282927.2', 'NM_001282932.2', 'NM_001375662.1', 'NM_001375663.1', 'NM_001375664.1', 'NM_001375665.1', 'NM_001375666.1', 'NM_001375667.1', 'NM_001375668.1', 'NM_001375669.1', 'NM_001375671.1', 'NM_001375672.1', 'NM_001375673.1', 'NM_001375674.1', 'NM_001375675.1', 'NM_001375676.1', 'NM_001375677.1', 'NM_001375678.1', 'NM_001375679.1', 'NM_001375680.1', 'NM_001375681.1', 'NM_001375682.1', 'NM_001375683.1', 'NM_001375684.1', 'NM_001375685.1', 'NM_001375686.1', 'NM_001375687.1', 'NM_001375688.1', 'NM_001375689.1', 'NM_001375690.1', 'NM_001375691.1', 'NM_001375692.1', 'NM_001375693.1', 'NM_001375695.1', 'NM_001375696.1', 'NM_001375698.1', 'NM_001375699.1', 'NM_001375702.1', 'NM_001375704.1', 'NM_001375706.1', 'NM_001375707.1', 'NM_001375708.1', 'NM_001375709.1', 'NM_001375710.1', 'NM_001375711.1', 'NM_001375712.1', 'NM_001375714.1', 'NM_001375717.1', 'NM_001375719.1', 'NM_001375721.1', 'NM_001375722.1', 'NM_001375723.1', 'NM_001375724.1', 'NM_001375725.1', 'NM_001375726.1', 'NM_001375727.1', 'NM_001375728.1', 'NM_001375729.1', 'NM_001375730.1', 'NM_001375731.1', 'NM_001375732.1', 'NM_001375733.1', 'NM_001375734.1', 'NM_001375735.1', 'NM_001375736.1', 'NM_001375737.1', 'NM_001375738.1', 'NM_001375739.1', 'NM_001375740.1', 'NM_001375741.1', 'NM_001375742.1', 'NM_001375743.1', 'NM_001375744.1', 'NM_001375745.1', 'NM_001375746.1', 'NM_001375747.1', 'NM_001375748.1', 'NM_001375749.1', 'NM_001375750.1', 'NM_001375751.1', 'NM_001375752.1', 'NM_001375753.1', 'NM_001375754.1', 'NM_001375755.1', 'NM_005759.7', 'XM_006712180.4', 'XM_006712181.4', 'XM_006712182.4', 'XM_017003132.3', 'XM_017003138.3', 'XM_017003144.3', 'XM_047442823.1', 'XM_047442824.1', 'XM_047442825.1', 'XM_047442826.1', 'XM_047442827.1', 'XM_047442828.1', 'XM_047442829.1', 'XM_047442830.1', 'XM_047442831.1', 'XM_047442832.1', 'XM_047442834.1', 'XM_047442835.1', 'XM_047442836.1', 'XM_047442837.1']
ABI3	NC_000017.11	+	['NM_016428.3 (MANE)', 'NM_001135186.2', 'XM_005257429.3', 'XM_011524873.2', 'XM_017024721.2']
ABI3BP	NC_000003.12	-	['NM_001375547.2 (MANE)', 'NM_001349329.2', 'NM_001349330.2', 'NM_001349331.2', 'NM_001349332.2', 'NM_001365642.2', 'NM_001365643.2', 'NM_001375549.2', 'NM_001375550.1', 'NM_001377332.1', 'NM_015429.4', 'XM_005247284.4', 'XM_005247285.4', 'XM_005247287.4', 'XM_005247288.4', 'XM_005247289.4', 'XM_005247290.4', 'XM_005247291.4', 'XM_005247293.4', 'XM_005247295.4', 'XM_005247296.4', 'XM_005247298.4', 'XM_005247299.5', 'XM_005247301.4', 'XM_005247303.4', 'XM_006713569.4', 'XM_006713571.4', 'XM_006713572.4', 'XM_011512639.3', 'XM_011512640.3', 'XM_011512641.3', 'XM_011512643.3', 'XM_011512644.3', 'XM_011512645.3', 'XM_011512646.3', 'XM_011512647.3', 'XM_011512648.3', 'XM_011512649.3', 'XM_011512651.3', 'XM_017006105.3', 'XM_017006106.3', 'XM_024453444.2', 'XM_024453445.2', 'XM_047447911.1', 'XM_047447912.1', 'XM_047447914.1', 'XM_047447915.1', 'XM_047447917.1', 'XM_047447918.1', 'XM_047447919.1', 'XM_047447920.1', 'XM_047447921.1', 'XM_047447922.1', 'XM_047447923.1', 'XM_047447924.1', 'XM_047447925.1', 'XM_047447926.1']
ABITRAM	NC_000009.12	+	['NM_017832.4 (MANE)', 'NM_001410990.1']
ABL1	NC_000009.12	+	['NM_005157.6 (MANE)', 'NM_007313.3']
ABL2	NC_000001.11	-	['NM_007314.4 (MANE)', 'NM_001136000.3', 'NM_001136001.2', 'NM_001168236.2', 'NM_001168237.2', 'NM_001168238.2', 'NM_001168239.2', 'NM_005158.5', 'XM_005245088.3', 'XM_017001035.2']
ABLIM1	NC_000010.11	-	['NM_002313.7 (MANE)', 'NM_001003407.2', 'NM_001322882.2', 'NM_001322883.2', 'NM_001322884.3', 'NM_001322885.3', 'NM_001322886.3', 'NM_001322887.2', 'NM_001322888.2', 'NM_001322889.2', 'NM_001322890.2', 'NM_001322891.2', 'NM_001322892.2', 'NM_001322893.2', 'NM_001322894.2', 'NM_001322895.2', 'NM_001322896.2', 'NM_001322897.2', 'NM_001322898.2', 'NM_001322899.2', 'NM_001322900.2', 'NM_001352440.1', 'NM_001352441.1', 'NM_001352442.2', 'NM_001352443.2', 'NM_006720.4', 'XM_006717837.3', 'XM_006717846.4', 'XM_011539801.3', 'XM_011539802.3', 'XM_017016245.2', 'XM_017016247.2', 'XM_017016250.2', 'XM_017016255.2', 'XM_017016256.2', 'XM_024448010.2', 'XM_024448011.2', 'XM_024448013.2', 'XM_024448014.2', 'XM_024448016.2', 'XM_024448018.2', 'XM_047425229.1', 'XM_047425231.1', 'XM_047425232.1', 'XM_047425233.1', 'XM_047425234.1', 'XM_047425236.1', 'XM_047425237.1', 'XM_047425238.1', 'XM_047425239.1', 'XM_047425240.1', 'XM_047425242.1', 'XM_047425243.1', 'XM_047425244.1', 'XM_047425245.1', 'XM_047425246.1']
ABLIM2	NC_000004.12	-	['NM_001130083.2 (MANE)', 'NM_001130084.2', 'NM_001130085.2', 'NM_001130086.2', 'NM_001130087.2', 'NM_001130088.2', 'NM_001286688.2', 'NM_032432.5', 'XM_005248014.6', 'XM_005248017.5', 'XM_005248019.5', 'XM_005248020.5', 'XM_005248021.6', 'XM_005248022.5', 'XM_005248023.5', 'XM_005248024.5', 'XM_005248027.5', 'XM_005248028.6', 'XM_005248029.5', 'XM_005248030.5', 'XM_005248031.5', 'XM_006713923.5', 'XM_006713924.5', 'XM_006713925.4', 'XM_006713927.4', 'XM_011513586.4', 'XM_017008715.3', 'XM_017008720.3', 'XM_017008723.2', 'XM_017008725.2', 'XM_047416297.1', 'XM_047416298.1', 'XM_047416299.1', 'XM_047416300.1', 'XM_047416301.1', 'XM_047416302.1', 'XM_047416303.1', 'XM_047416305.1', 'XM_047416306.1', 'XM_047416307.1', 'XM_047416308.1', 'XM_047416309.1', 'XM_047416310.1', 'XM_047416311.1', 'XM_047416312.1', 'XM_047416313.1', 'XM_047416314.1', 'XM_047416315.1', 'XM_047416316.1', 'XM_047416317.1', 'XM_047416318.1']
ABLIM3	NC_000005.10	+	['NM_014945.5 (MANE)', 'NM_001301015.3', 'NM_001301018.3', 'NM_001301028.3', 'NM_001345858.2', 'NM_001345859.2', 'NM_001345860.2', 'NM_001345861.2', 'NM_001370417.1', 'NM_001370418.1', 'XM_005268394.3', 'XM_011537609.4', 'XM_024446004.2', 'XM_024446006.2']
ABO	NC_000009.12	-	['NM_020469.3']
ABR	NC_000017.11	-	['NM_021962.5 (MANE)', 'NM_001092.5', 'NM_001159746.3', 'NM_001256847.3', 'NM_001282149.2', 'NM_001322840.2', 'NM_001322841.2', 'NM_001322842.2']
ABRA	NC_000008.11	-	['NM_139166.5 (MANE)']
ABRACL	NC_000006.12	+	['NM_021243.3 (MANE)', 'XM_017011151.2', 'XM_047419197.1']
ABRAXAS1	NC_000004.12	-	['NM_139076.3 (MANE)', 'NM_001345962.2']
ABRAXAS2	NC_000010.11	+	['NM_032182.4 (MANE)', 'XM_047424888.1', 'XM_047424889.1', 'XM_047424891.1']
ABT1	NC_000006.12	+	['NM_013375.4 (MANE)']
ABTB1	NC_000003.12	+	['NM_172027.3 (MANE)', 'NM_032548.4', 'XM_006713769.4', 'XM_017007285.2', 'XM_017007286.3']
ABTB2	NC_000011.10	-	['NM_145804.3 (MANE)']
ABTB3	NC_000012.12	+	['NM_001018072.2 (MANE)', 'NM_001017523.2', 'NM_001347943.2', 'NM_001347944.1', 'XM_005268645.4', 'XM_011537909.3', 'XM_011537910.4', 'XM_047428301.1']
ACAA1	NC_000003.12	-	['NM_001607.4 (MANE)', 'NM_001130410.2', 'XM_006713122.1', 'XM_011533650.3', 'XM_047448057.1']
ACAA2	NC_000018.10	-	['NM_006111.3 (MANE)']
ACACA	NC_000017.11	-	['NM_198834.3 (MANE)', 'NM_198836.3', 'NM_198837.2', 'NM_198838.2', 'NM_198839.3', 'XM_005257267.6', 'XM_006721853.2', 'XM_011524701.2', 'XM_011524703.1', 'XM_011524704.3', 'XM_047435878.1', 'XM_047435879.1', 'XM_047435880.1', 'XM_047435881.1', 'XM_047435882.1', 'XM_047435883.1', 'XM_047435884.1', 'XM_047435885.1', 'XM_047435886.1', 'XM_047435888.1', 'XM_047435889.1', 'XM_047435890.1', 'XM_047435891.1', 'XM_047435892.1', 'XM_047435893.1', 'XM_047435894.1']
ACACB	NC_000012.12	+	['NM_001093.4 (MANE)', 'NM_001412734.1', 'NM_001412735.1', 'NM_001412736.1', 'NM_001412737.1', 'NM_001412738.1', 'NM_001412739.1', 'NM_001412741.1', 'NM_001412742.1', 'XM_011538263.4', 'XM_011538264.4', 'XM_011538265.3', 'XM_047428764.1', 'XM_047428765.1', 'XM_047428766.1', 'XM_047428767.1', 'XM_047428768.1']
ACAD10	NC_000012.12	+	['NM_025247.6 (MANE)', 'NM_001136538.2']
ACAD11	NC_000003.12	-	['NM_032169.5 (MANE)']
ACAD8	NC_000011.10	+	['NM_014384.3 (MANE)', 'XM_005271505.5', 'XM_011542750.4', 'XM_047426768.1', 'XM_047426769.1', 'XM_047426770.1']
